Visitor ID,Visitor: Last Visit,Number of Days Active,Number of Events,Visitor: Most recent browser name
anonymous-1759704240341,2025-10-05 18:44:00,1,2,Safari
anonymous-1759704082715,2025-10-05 18:42:00,1,13,Safari
51,2025-10-05 18:22:01,1,9,Safari
anonymous-1759702901158,2025-10-05 18:21:41,1,13,Safari
anonymous-1759702412663,2025-10-05 18:13:32,1,12,Chrome
anonymous-1759701627386,2025-10-05 18:00:27,1,14,Chrome
anonymous-1759701036235,2025-10-05 17:50:45,1,3,Safari
anonymous-1759700983647,2025-10-05 17:49:43,1,3,Chrome
anonymous-1759700911653,2025-10-05 17:49:43,1,115,Chrome
anonymous-1759700923588,2025-10-05 17:49:00,1,14,Chrome
anonymous-1759700823120,2025-10-05 17:47:03,1,2,Safari
anonymous-1759700756916,2025-10-05 17:46:21,1,15,Safari
anonymous-1759700747758,2025-10-05 17:45:48,1,3,Safari
anonymous-1759700561040,2025-10-05 17:42:41,1,3,Chrome
anonymous-1759700558244,2025-10-05 17:42:38,1,2,Chrome
anonymous-1759699742068,2025-10-05 17:29:02,1,3,Chrome
anonymous-1759699246509,2025-10-05 17:27:38,1,3,Chrome
anonymous-1759699231659,2025-10-05 17:20:32,1,2,Chrome
anonymous-1759699113257,2025-10-05 17:18:33,1,2,Chrome
anonymous-1759699091502,2025-10-05 17:18:11,1,3,Chrome
anonymous-1759699080379,2025-10-05 17:18:00,1,2,Chrome
anonymous-1759698974458,2025-10-05 17:16:14,1,2,Chrome
anonymous-1759698881933,2025-10-05 17:14:42,1,2,Chrome
anonymous-1759698879927,2025-10-05 17:14:40,1,2,Chrome
anonymous-1759698867685,2025-10-05 17:14:28,1,3,Chrome
anonymous-1759698862171,2025-10-05 17:14:22,1,2,Chrome
anonymous-1759698859975,2025-10-05 17:14:20,1,2,Chrome
anonymous-1759698842000,2025-10-05 17:14:02,1,3,Chrome
anonymous-1759698784280,2025-10-05 17:13:04,1,14,Chrome
anonymous-1759698529109,2025-10-05 17:13:02,1,3,Chrome
anonymous-1759698436999,2025-10-05 17:08:47,1,3,Chrome
anonymous-1759698440032,2025-10-05 17:07:20,1,3,Chrome
anonymous-1759698380922,2025-10-05 17:06:21,1,2,Chrome
anonymous-1759698307895,2025-10-05 17:05:08,1,2,Chrome
anonymous-1759698016677,2025-10-05 17:02:35,1,27,Chrome
anonymous-1759697968916,2025-10-05 16:59:28,1,3,Chrome
anonymous-1759697965715,2025-10-05 16:59:26,1,2,Chrome
anonymous-1759696901826,2025-10-05 16:46:30,1,27,Chrome
anonymous-1759696906094,2025-10-05 16:41:46,1,3,Chrome
anonymous-1759696782714,2025-10-05 16:39:43,1,2,Chrome
anonymous-1759696695370,2025-10-05 16:38:15,1,2,Chrome
anonymous-1759696308925,2025-10-05 16:31:48,1,3,Chrome
anonymous-1759696305839,2025-10-05 16:31:46,1,2,Chrome
anonymous-1759695397698,2025-10-05 16:16:38,1,2,Chrome
anonymous-1759695139846,2025-10-05 16:12:20,1,2,Chrome
anonymous-1759695131364,2025-10-05 16:12:12,1,2,Chrome
anonymous-1759694765891,2025-10-05 16:06:06,1,2,Chrome
anonymous-1759623812501,2025-10-04 20:23:32,1,2,Chrome
anonymous-1759623804016,2025-10-04 20:23:24,1,2,Chrome
anonymous-1759576393438,2025-10-04 07:13:13,1,3,Chrome
anonymous-1759512387685,2025-10-03 13:26:28,1,2,Chrome
anonymous-1759505160743,2025-10-03 11:26:00,1,2,Chrome
anonymous-1759462398633,2025-10-02 23:33:18,1,2,Chrome
anonymous-1759460236946,2025-10-02 22:57:17,1,2,Chrome
anonymous-1759451358722,2025-10-02 20:29:19,1,2,Safari
anonymous-1759429899390,2025-10-02 14:31:39,1,14,Safari
anonymous-1759429097715,2025-10-02 14:18:17,1,2,Chrome
anonymous-1759416007609,2025-10-02 10:40:08,1,2,Chrome
anonymous-1759413932154,2025-10-02 10:05:32,1,2,Chrome
anonymous-1759413073983,2025-10-02 09:51:14,1,2,Chrome
anonymous-1759367711589,2025-10-01 21:15:11,1,2,Safari
anonymous-1759361023343,2025-10-01 19:23:43,1,13,Chrome
anonymous-1759359061328,2025-10-01 18:51:01,1,15,Chrome
anonymous-1759353026904,2025-10-01 17:10:27,1,14,Chrome
anonymous-1759353019463,2025-10-01 17:10:21,1,2,Chrome
anonymous-1759350359809,2025-10-01 16:26:00,1,2,Chrome
anonymous-1759350349096,2025-10-01 16:25:49,1,5,Chrome
anonymous-1759350232578,2025-10-01 16:23:52,1,3,Safari
anonymous-1759350202723,2025-10-01 16:23:22,1,2,Chrome
48,2025-10-01 14:37:27,4,127,Chrome
anonymous-1759343845488,2025-10-01 14:37:25,1,2,Chrome
anonymous-1759335914445,2025-10-01 12:25:16,1,3,Chrome
anonymous-1759335688194,2025-10-01 12:21:28,1,2,Chrome
anonymous-1759335052903,2025-10-01 12:10:53,1,2,Chrome
anonymous-1759331038154,2025-10-01 11:03:58,1,2,Chrome
anonymous-1759331027136,2025-10-01 11:03:47,1,2,Chrome
anonymous-1759327402312,2025-10-01 10:03:22,1,2,Chrome
anonymous-1759327395410,2025-10-01 10:03:15,1,2,Chrome
anonymous-1759318862169,2025-10-01 07:41:02,1,3,Firefox
anonymous-1759285541119,2025-09-30 22:25:42,1,2,Chrome
anonymous-1759282689557,2025-09-30 21:38:09,1,5,Safari
anonymous-1759274030962,2025-09-30 19:13:52,1,2,Chrome
anonymous-1759208427204,2025-09-30 01:00:27,1,18,Safari
anonymous-1759196698581,2025-09-29 21:44:59,1,2,Safari
anonymous-1759191681314,2025-09-29 20:21:22,1,2,Safari
anonymous-1759189844466,2025-09-29 19:50:44,1,2,Chrome
anonymous-1759189551042,2025-09-29 19:45:51,1,2,Chrome
anonymous-1759189285841,2025-09-29 19:41:27,1,3,Chrome
anonymous-1759185036472,2025-09-29 18:30:36,1,2,Chrome
anonymous-1759183395750,2025-09-29 18:03:16,1,2,Chrome
anonymous-1759183174921,2025-09-29 17:59:35,1,14,Chrome
anonymous-1759182972704,2025-09-29 17:56:13,1,2,Safari
anonymous-1759179590779,2025-09-29 16:59:50,1,3,Chrome
anonymous-1759176248340,2025-09-29 16:04:08,1,2,Safari
anonymous-1759175867603,2025-09-29 15:57:47,1,15,Safari
anonymous-1759174754971,2025-09-29 15:39:15,1,3,Safari
anonymous-1759163448236,2025-09-29 12:30:48,1,2,Chrome
anonymous-1759163378381,2025-09-29 12:29:39,1,2,Chrome
anonymous-1759156773301,2025-09-29 10:39:33,1,2,Chrome
anonymous-1759154773352,2025-09-29 10:06:13,1,2,Chrome
anonymous-1759095644702,2025-09-28 17:40:45,1,3,Firefox
anonymous-1759069218284,2025-09-28 10:20:18,1,3,Safari
anonymous-1759022002253,2025-09-27 21:13:22,1,2,Chrome
anonymous-1759020185493,2025-09-27 20:43:06,1,2,Chrome
anonymous-1759011981325,2025-09-27 18:26:21,1,15,Chrome
anonymous-1759011960151,2025-09-27 18:26:00,1,3,Chrome
anonymous-1759009168660,2025-09-27 17:39:28,1,2,Chrome
anonymous-1759009034508,2025-09-27 17:37:14,1,2,Chrome
anonymous-1758992932218,2025-09-27 13:08:53,1,2,Safari
anonymous-1758925951778,2025-09-26 18:32:32,1,2,Chrome
anonymous-1758925047429,2025-09-26 18:17:27,1,3,Chrome
anonymous-1758925023271,2025-09-26 18:17:04,1,3,Chrome
anonymous-1758924109853,2025-09-26 18:01:50,1,3,Chrome
anonymous-1758923922090,2025-09-26 17:58:42,1,2,Chrome
anonymous-1758923751465,2025-09-26 17:55:51,1,2,Chrome
anonymous-1758922762706,2025-09-26 17:39:23,1,15,Chrome
anonymous-1758918571263,2025-09-26 16:29:31,1,2,Chrome
anonymous-1758918261095,2025-09-26 16:24:21,1,3,Chrome
anonymous-1758917944967,2025-09-26 16:19:05,1,2,Chrome
anonymous-1758917651282,2025-09-26 16:14:11,1,2,Chrome
anonymous-1758917405959,2025-09-26 16:11:04,1,14,Chrome
anonymous-1758917339186,2025-09-26 16:08:59,1,2,Chrome
anonymous-1758917299659,2025-09-26 16:08:19,1,2,Chrome
anonymous-1758917285678,2025-09-26 16:08:05,1,2,Chrome
anonymous-1758917235006,2025-09-26 16:07:15,1,2,Chrome
anonymous-1758917211145,2025-09-26 16:06:51,1,2,Chrome
anonymous-1758916735094,2025-09-26 15:58:55,1,2,Chrome
anonymous-1758916672173,2025-09-26 15:57:52,1,2,Chrome
anonymous-1758916606674,2025-09-26 15:56:46,1,3,Chrome
anonymous-1758914667012,2025-09-26 15:24:27,1,2,Chrome
anonymous-1758914601910,2025-09-26 15:23:22,1,3,Chrome
anonymous-1758914384478,2025-09-26 15:19:45,1,3,Chrome
anonymous-1758912057350,2025-09-26 14:40:57,1,2,Chrome
anonymous-1758912054811,2025-09-26 14:40:54,1,3,Chrome
anonymous-1758912051059,2025-09-26 14:40:51,1,3,Chrome
